,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
0,AN,Asian Studies,1361,2015.0,Spring,Spring2015,2014_2015,AN 0310,Asian Studies Seminar,,,,,,
1,BU,Business,1030,2014.0,Fall,Fall2014,2014_2015,BU 0211,Legal Environment of Business,,,,,,
2,BU,Business,1049,2015.0,Spring,Spring2015,2014_2015,BU 0220,Environmental Law & Policy,,,,,,
3,BU,Business,1053,2015.0,Spring,Spring2015,2014_2015,BU 0312,The Law of Business Organizations and Financial Transactions,,,,,,
4,BU,Business,1033,2014.0,Fall,Fall2014,2014_2015,BU 0320,Employment Law and Discrimination in the Workplace,,,,,,
5,AR,Arabic,506,2014.0,Fall,Fall2014,2014_2015,AR 0110,Elementary Modern Standard Arabic I,,,,,,
6,AR,Arabic,515,2015.0,Spring,Spring2015,2014_2015,AR 0111,Elementary Modern Standard Arabic II,,,,,,
7,AR,Arabic,507,2014.0,Fall,Fall2014,2014_2015,AR 0210,Intermediate Modern Standard Arabic I,,,,,,
8,AR,Arabic,516,2015.0,Spring,Spring2015,2014_2015,AR 0211,Intermediate Modern Standard Arabic II,,,,,,
9,AR,Arabic,505,2014.0,Fall,Fall2014,2014_2015,AR 0381,Coordinating Seminar,,,,,,
10,AR,Arabic,514,2015.0,Spring,Spring2015,2014_2015,AR 0382,Coordinating Seminar,,,,,,
11,AY,Anthropology,363,2014.0,Fall,Fall2014,2014_2015,AY 0010,Introduction to Four-Field Anthropology,,,,,,
12,AY,Anthropology,373,2014.0,Fall,Fall2014,2014_2015,AY 0052,Culture and Political Economy,,,,,,
13,AY,Anthropology,402,2014.0,Fall,Fall2014,2014_2015,AY 0110,Biological Anthropology,,,,,,
14,AY,Anthropology,372,2014.0,Fall,Fall2014,2014_2015,AY 0111,Cultural Anthropology,,,,,,
15,AY,Anthropology,362,2014.0,Fall,Fall2014,2014_2015,AY 0130,Cultures of Africa,,,,,,
16,AY,Anthropology,375,2014.0,Fall,Fall2014,2014_2015,AY 0152,Islamic Societies and Cultures,,,,,,
17,AY,Anthropology,397,2015.0,Spring,Spring2015,2014_2015,AY 0163,Culture and Inequality,,,,,,
18,AS,American Studies,304,2014.0,Fall,Fall2014,2014_2015,AS 0200,Roots of American Culture,,,,,,
19,AS,American Studies,319,2014.0,Fall,Fall2014,2014_2015,AS 0400,Critical Issues/Amer Studies,,,,,,
20,AS,American Studies,350,2014.0,Fall,Fall2014,2014_2015,AS 0453,American Popular Entertainments and Social History,,,,,,
21,JA,Japanese,3887,2014.0,Fall,Fall2014,2014_2015,JA 0110,Elementary Japanese I,,,,,,
22,JA,Japanese,3893,2015.0,Spring,Spring2015,2014_2015,JA 0111,Elementary Japanese II,,,,,,
23,JA,Japanese,3888,2014.0,Fall,Fall2014,2014_2015,JA 0210,Intermediate Japanese I,,,,,,
24,JA,Japanese,3894,2015.0,Spring,Spring2015,2014_2015,JA 0211,Intermediate Japanese II,,,,,,
25,AH,Art History,522,2014.0,Fall,Fall2014,2014_2015,AH 0010,Origins and Transformations in Western Art,,,,,,
26,AH,Art History,547,2015.0,Spring,Spring2015,2014_2015,AH 0011,Visual Culture Since 1400: Expression and Experimentation,,,,,,
27,AH,Art History,595,2014.0,Fall,Fall2014,2014_2015,AH 0013,"Art of Africa, the Caribbean, and the Americas",,,,,,
28,AH,Art History,597,2014.0,Fall,Fall2014,2014_2015,AH 0014,Art of Asia,,,,,,
29,AH,Art History,546,2015.0,Spring,Spring2015,2014_2015,AH 0109,Jewish Art: Moses to Modernity,,,,,,
30,AH,Art History,527,2015.0,Spring,Spring2015,2014_2015,AH 0111,Greek Art and Archaeology,,,,,,
31,AH,Art History,577,2015.0,Spring,Spring2015,2014_2015,AH 0121,Celtic and Early Irish Art,,,,,,
32,AH,Art History,587,2014.0,Fall,Fall2014,2014_2015,AH 0152,Modern Art,,,,,,
33,AH,Art History,533,2014.0,Fall,Fall2014,2014_2015,AH 0164,American Art: Civil War to Civil Rights,,,,,,
34,AH,Art History,8388,2015.0,Spring,Spring2015,2014_2015,AH 0192,"The History, Theory, and Practice of Museums",,,,,,
35,AH,Art History,562,2015.0,Summer,Summer2015,2014_2015,AH 0193,"Inside Museums and Galleries: Taste, Place, Public Space",,,,,,
36,AH,Art History,523,2014.0,Fall,Fall2014,2014_2015,AH 0209,The Metropolitan Museum of Art Plaster Cast Collection at Fairfield University,,,,,,
37,AH,Art History,568,2014.0,Fall,Fall2014,2014_2015,AH 0320,Junior Seminar,,,,,,
38,AH,Art History,603,2015.0,Spring,Spring2015,2014_2015,AH 0330,Senior Capstone Seminar,,,,,,
39,AE,Applied Ethics,412,2014.0,Fall,Fall2014,2014_2015,AE 0262,Ethics and the Community,,,,,,
40,AE,Applied Ethics,413,2014.0,Fall,Fall2014,2014_2015,AE 0265,Ethics in Education,,,,,,
41,AE,Applied Ethics,425,2014.0,Fall,Fall2014,2014_2015,AE 0276,Ethical Dimensions of Global Business Practices,,,,,,
42,AE,Applied Ethics,433,2014.0,Fall,Fall2014,2014_2015,AE 0281,Ethics of Communications,,,,,,
43,AE,Applied Ethics,439,2014.0,Fall,Fall2014,2014_2015,AE 0284,Environmental Ethics,,,,,,
44,AE,Applied Ethics,450,2014.0,Fall,Fall2014,2014_2015,AE 0285,Ethics of Health Care,,,,,,
45,AE,Applied Ethics,469,2015.0,Spring,Spring2015,2014_2015,AE 0287,Engineering Ethics,,,,,,
46,AE,Applied Ethics,259,2014.0,Fall,Fall2014,2014_2015,AE 0291,Business Ethics,,,,,,
47,AE,Applied Ethics,6955,2015.0,Spring,Spring2015,2014_2015,AE 0293,Ethics of War and Peace,,,,,,
48,AE,Applied Ethics,470,2015.0,Spring,Spring2015,2014_2015,AE 0391,"Seminar in Business Law, Regulation, and Ethics",,,,,,
49,AC,Accounting,0,2014.0,Fall,Fall2014,2014_2015,AC 0011,Introduction to Financial Accounting,,,,,,
50,AC,Accounting,12,2015.0,Spring,Spring2015,2014_2015,AC 0012,Introduction to Management Accounting,,,,,,
