,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
3,2015.0,Fall,Fall2015,2015_2016,AC 0011,,,Introduction to Financial Accounting,,,,,,
14,2016.0,Spring,Spring2016,2015_2016,AC 0012,,,Introduction to Management Accounting,,,,,,
25,2015.0,Fall,Fall2015,2015_2016,AC 0203,,,Intermediate Accounting I,,,,,,
105,2016.0,Summer,Summer2016,2015_2016,AC 0204,,,Intermediate Accounting II,,,,,,
100,2016.0,Spring,Spring2016,2015_2016,AC 0265,,,Accounting Information Systems,,,,,,
241,2015.0,Fall,Fall2015,2015_2016,AC 0310,,,Advanced Accounting,,,,,,
192,2015.0,Fall,Fall2015,2015_2016,AC 0320,,,Cost Management,,,,,,
40,2015.0,Fall,Fall2015,2015_2016,AC 0330,,,Auditing,,,,,,
214,2015.0,Fall,Fall2015,2015_2016,AC 0343,,,Federal Income Taxation I,,,,,,
8386,2016.0,Spring,Spring2016,2015_2016,AC 0344,,,Individual Taxation: Socioeconomic Applications,,,,,,
227,2016.0,Spring,Spring2016,2015_2016,AC 0345,,,Federal Income Taxation II,,,,,,
117,2015.0,Fall,Fall2015,2015_2016,AC 0400,,,Introduction to Accounting,,,,,,
111,2016.0,Spring,Spring2016,2015_2016,AC 0500,,,Accounting Information for Decision-Making,,,,,,
183,2016.0,Summer,Summer2016,2015_2016,AC 0510,,,Issues in a Regulatory Reporting Environment,,,,,,
157,2016.0,Summer,Summer2016,2015_2016,AC 0530,,,"Accounting for Governments, Hospitals, and Universities",,,,,,
202,2016.0,Spring,Spring2016,2015_2016,AC 0550,,,Accounting Information Systems and Technology,,,,,,
294,2016.0,Spring,Spring2016,2015_2016,AC 0555,,,Issues in Internal Audit,,,,,,
49,2016.0,Spring,Spring2016,2015_2016,AC 0560,,,Audit Issues in a Global Environment,,,,,,
263,2015.0,Fall,Fall2015,2015_2016,AC 0570,,,Issues in Accounting Ethics,,,,,,
161,2016.0,Summer,Summer2016,2015_2016,AC 0580,,,Financial Statement Analysis,,,,,,
