,credits,catalog_id,prereqs,coreqs,fees,attributes,description,program_code,program_name,YEAR,SEMESTER,term,CatalogYear,Title
0,3 Credits,PB 0101,,,,,"Health is broadly considered a human right and universal access to care is a core target of Public Health. Improving health often requires population-level interventions. As such, addressing disparities is to a significant extent a public health challenge. This course illuminates the social justice dimension of public health practice. It will familiarize the student with key documents that support public health action to address health disparities and equip students to more effectively advance public health through not only public health practice, but also through other health disciplines, health law, health economics, diplomacy, and government.",PB,Public Health,2018.0,Spring,Spring2018,2017_2018,Global Public Health and Social Justice
1,0 Credits,SHS 0011,,,$2100,,"This course examines the intersection of psychology and the law. Topics include: lie detection, eyewitness testimony, criminal profiling, jury selection, the insanity defense, offender treatment, juvenile justice, and the death penalty. Case studies, trials, and psychological research will be studied to better understand the psychological aspects of crime.",SHS,Summer Pre-College Programs,2018.0,Summer,Summer2018,2017_2018,Forensic Psychology
2,0 Credits,SHS 0013,,,$2100,,"Spend a week in the world of nursing, learning about the many opportunities available in the nursing profession. Specific opportunities offered include the basics of first aid and CPR and realistic experiences in the Egan School of Nursing and Health Studies state of the art simulation lab. Students will come away with an understanding of the many possibilities a career in nursing holds with a targeted focus on their personal interests for their future in health care.",SHS,Summer Pre-College Programs,2018.0,Summer,Summer2018,2017_2018,Nursing: The Possibilities Are Endless!
3,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
4,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
5,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
6,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
7,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
8,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
9,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
10,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
11,3,3,3,3,3,3,3,3,3,3.0,3,3,3,3
