,location,BuildingName,BuildingCode
0,DSB 105,Dolan School of Business,DSB
1,DSB 111,Dolan School of Business,DSB
2,DSB 110A,Dolan School of Business,DSB
3,DSB 108,Dolan School of Business,DSB
4,DSB 110B,Dolan School of Business,DSB
5,DSB 104,Dolan School of Business,DSB
6,DSB 112,Dolan School of Business,DSB
7,DSB 109,Dolan School of Business,DSB
8,DSB 115,Dolan School of Business,DSB
9,DSB 2109A,Dolan School of Business,DSB
10,CNS 5,Canisius Hall,CNS
11,CNS 108,Canisius Hall,CNS
12,CNS 106,Canisius Hall,CNS
13,BNW 254,Bannow Science Center,BNW
14,SON 124,School of Nursing,SON
15,CNS 303,Canisius Hall,CNS
16,CNS 305,Canisius Hall,CNS
17,BNW 137,Bannow Science Center,BNW
18,CNS 15,Canisius Hall,CNS
19,CNS 208,Canisius Hall,CNS
20,CNS 103,Canisius Hall,CNS
21,BLM LL105,Bellarmine Hall,BLM
22,DMH 349,Donnarumma Hall,DMH
23,DMH 350,Donnarumma Hall,DMH
24,CNS 204,Canisius Hall,CNS
25,CNS 207,Canisius Hall,CNS
26,BY ARR ,By Arrangement,BY ARR 
27,CNS 6,Canisius Hall,CNS
28,CNS 9,Canisius Hall,CNS
29,CNS 1,Canisius Hall,CNS
30,BNW 332,Bannow Science Center,BNW
31,BNW 256,Bannow Science Center,BNW
32,BNW 254A,Bannow Science Center,BNW
33,SON 203,School of Nursing,SON
34,BNW 240,Bannow Science Center,BNW
35,BNW 245,Bannow Science Center,BNW
36,BNW 261,Bannow Science Center,BNW
37,BNW 264,Bannow Science Center,BNW
38,BNW 319,Bannow Science Center,BNW
39,BNW 369,Bannow Science Center,BNW
40,BNW 333,Bannow Science Center,BNW
41,BNW 166,Bannow Science Center,BNW
42,BNW GR22,Bannow Science Center,BNW
43,BNW 238A,Bannow Science Center,BNW
44,BNW 267,Bannow Science Center,BNW
45,BNW 269,Bannow Science Center,BNW
46,NYS 107C,DiMenna-Nyselius Library,NYS
47,MCA 204,McAuliffe Hall,MCA
48,MCA 206,McAuliffe Hall,MCA
49,BNW 361,Bannow Science Center,BNW
50,BNW 341,Bannow Science Center,BNW
51,BNW 335,Bannow Science Center,BNW
52,BNW 131,Bannow Science Center,BNW
53,BNW 127,Bannow Science Center,BNW
54,BNW 362,Bannow Science Center,BNW
55,BNW 340,Bannow Science Center,BNW
56,BNW 339,Bannow Science Center,BNW
57,BNW 343,Bannow Science Center,BNW
58,BNW 363,Bannow Science Center,BNW
59,CNS 10,Canisius Hall,CNS
60,CNS 202,Canisius Hall,CNS
61,DMH 348,Donnarumma Hall,DMH
62,CNS 203,Canisius Hall,CNS
63,DMH 347,Donnarumma Hall,DMH
64,CNS 206,Canisius Hall,CNS
65,MCA 102,McAuliffe Hall,MCA
66,CNS 2,Canisius Hall,CNS
67,CNS 301,Canisius Hall,CNS
68,DMH 231,Donnarumma Hall,DMH
69,BNW 129B,Bannow Science Center,BNW
70,CNS 304,Canisius Hall,CNS
71,CNS 101,Canisius Hall,CNS
72,CNS 306,Canisius Hall,CNS
73,CNS 209,Canisius Hall,CNS
74,LYL 227B,Loyola Hall,LYL
75,CNS 104,Canisius Hall,CNS
76,DMH 131,Donnarumma Hall,DMH
77,BNW 469,Bannow Science Center,BNW
78,DMH 149,Donnarumma Hall,DMH
79,DMH 148,Donnarumma Hall,DMH
80,MCA 203,McAuliffe Hall,MCA
81,BNW 133,Bannow Science Center,BNW
82,BNW 139,Bannow Science Center,BNW
83,BNW 253,Bannow Science Center,BNW
84,DLH 107,Dolan House,DLH
85,MCA 107,McAuliffe Hall,MCA
86,BNW 334,Bannow Science Center,BNW
87,DMH 331,Donnarumma Hall,DMH
88,XVR 15,Xavier Hall,XVR
89,XVR 13,Xavier Hall,XVR
90,XVR 5,Xavier Hall,XVR
91,DSB 114,Dolan School of Business,DSB
92,DSB 106,Dolan School of Business,DSB
93,FBR,Faber Hall,FBR
94,EGN ,Egan Chapel St Ignatius Loyola,EGN
95,GNZ AUDI,Gonzaga Hall,GNZ
96,CNS 200,Canisius Hall,CNS
97,JGS 25,Jogues Hall,JGS
98,EGN MCGRATH,Egan Chapel St Ignatius Loyola,EGN
99,BCC 200,Barone Campus Center,BCC
100,LYL 2,Loyola Hall,LYL
101,DMH 245,Donnarumma Hall,DMH
102,BNW 138,Bannow Science Center,BNW
103,DSB 107,Dolan School of Business,DSB
104,NYS 115,DiMenna-Nyselius Library,NYS
