,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
0,2014.0,Fall,Fall2014,2014_2015,AC 0011,,,Introduction to Financial Accounting,,,,,,
12,2015.0,Spring,Spring2015,2014_2015,AC 0012,,,Introduction to Management Accounting,,,,,,
102,2015.0,Summer,Summer2015,2014_2015,AC 0203,,,Intermediate Accounting I,,,,,,
103,2015.0,Summer,Summer2015,2014_2015,AC 0204,,,Intermediate Accounting II,,,,,,
99,2015.0,Spring,Spring2015,2014_2015,AC 0265,,,Accounting Information Systems,,,,,,
189,2014.0,Fall,Fall2014,2014_2015,AC 0310,,,Advanced Accounting,,,,,,
112,2014.0,Fall,Fall2014,2014_2015,AC 0320,,,Cost Management,,,,,,
37,2014.0,Fall,Fall2014,2014_2015,AC 0330,,,Auditing,,,,,,
208,2014.0,Fall,Fall2014,2014_2015,AC 0343,,,Federal Income Taxation I,,,,,,
8383,2015.0,Spring,Spring2015,2014_2015,AC 0344,,,Individual Taxation: Socioeconomic Applications,,,,,,
222,2015.0,Spring,Spring2015,2014_2015,AC 0345,,,Federal Income Taxation II,,,,,,
93,2014.0,Fall,Fall2014,2014_2015,AC 0380,,,Municipal and Not-for-Profit Accounting,,,,,,
240,2014.0,Fall,Fall2014,2014_2015,AC 0400,,,Introduction to Accounting,,,,,,
238,2014.0,Fall,Fall2014,2014_2015,AC 0500,,,Accounting Information for Decision-Making,,,,,,
179,2015.0,Summer,Summer2015,2014_2015,AC 0510,,,Issues in a Regulatory Reporting Environment,,,,,,
11,2015.0,Spring,Spring2015,2014_2015,AC 0520,,,International Accounting,,,,,,
155,2015.0,Summer,Summer2015,2014_2015,AC 0530,,,"Accounting for Governments, Hospitals, and Universities",,,,,,
121,2015.0,Spring,Spring2015,2014_2015,AC 0550,,,Accounting Information Systems and Technology,,,,,,
291,2015.0,Spring,Spring2015,2014_2015,AC 0555,,,Issues in Internal Audit,,,,,,
248,2015.0,Spring,Spring2015,2014_2015,AC 0560,,,Audit Issues in a Global Environment,,,,,,
260,2014.0,Fall,Fall2014,2014_2015,AC 0570,,,Issues in Accounting Ethics,,,,,,
8548,2015.0,Summer,Summer2015,2014_2015,AC 0580,,,Financial Statement Analysis,,,,,,
273,2014.0,Fall,Fall2014,2014_2015,AC 0590,,,Research on Contemporary Issues in Accounting,,,,,,
412,2014.0,Fall,Fall2014,2014_2015,AE 0262,,,Ethics and the Community,,,,,,
413,2014.0,Fall,Fall2014,2014_2015,AE 0265,,,Ethics in Education,,,,,,
425,2014.0,Fall,Fall2014,2014_2015,AE 0276,,,Ethical Dimensions of Global Business Practices,,,,,,
433,2014.0,Fall,Fall2014,2014_2015,AE 0281,,,Ethics of Communications,,,,,,
439,2014.0,Fall,Fall2014,2014_2015,AE 0284,,,Environmental Ethics,,,,,,
450,2014.0,Fall,Fall2014,2014_2015,AE 0285,,,Ethics of Health Care,,,,,,
469,2015.0,Spring,Spring2015,2014_2015,AE 0287,,,Engineering Ethics,,,,,,
259,2014.0,Fall,Fall2014,2014_2015,AE 0291,,,Business Ethics,,,,,,
6955,2015.0,Spring,Spring2015,2014_2015,AE 0293,,,Ethics of War and Peace,,,,,,
470,2015.0,Spring,Spring2015,2014_2015,AE 0391,,,"Seminar in Business Law, Regulation, and Ethics",,,,,,
522,2014.0,Fall,Fall2014,2014_2015,AH 0010,,,Origins and Transformations in Western Art,,,,,,
547,2015.0,Spring,Spring2015,2014_2015,AH 0011,,,Visual Culture Since 1400: Expression and Experimentation,,,,,,
595,2014.0,Fall,Fall2014,2014_2015,AH 0013,,,"Art of Africa, the Caribbean, and the Americas",,,,,,
597,2014.0,Fall,Fall2014,2014_2015,AH 0014,,,Art of Asia,,,,,,
546,2015.0,Spring,Spring2015,2014_2015,AH 0109,,,Jewish Art: Moses to Modernity,,,,,,
527,2015.0,Spring,Spring2015,2014_2015,AH 0111,,,Greek Art and Archaeology,,,,,,
