,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
0,BU,Business,1031,2015.0,Fall,Fall2015,2015_2016,BU 0211,Legal Environment of Business,,,,,,
1,BU,Business,1054,2016.0,Spring,Spring2016,2015_2016,BU 0220,Environmental Law & Policy,,,,,,
2,BU,Business,1039,2015.0,Fall,Fall2015,2015_2016,BU 0320,Employment Law and Discrimination in the Workplace,,,,,,
3,BL,Black Studies,2738,2016.0,Spring,Spring2016,2015_2016,BL 0100A,Special Topics: Black Lives Matter,,,,,,
4,AR,Arabic,509,2015.0,Fall,Fall2015,2015_2016,AR 0110,Elementary Modern Standard Arabic I,,,,,,
5,AR,Arabic,517,2016.0,Spring,Spring2016,2015_2016,AR 0111,Elementary Modern Standard Arabic II,,,,,,
6,AR,Arabic,510,2015.0,Fall,Fall2015,2015_2016,AR 0210,Intermediate Modern Standard Arabic I,,,,,,
7,AR,Arabic,518,2016.0,Spring,Spring2016,2015_2016,AR 0211,Intermediate Modern Standard Arabic II,,,,,,
8,AR,Arabic,508,2015.0,Fall,Fall2015,2015_2016,AR 0381,Coordinating Seminar,,,,,,
9,AY,Anthropology,365,2015.0,Fall,Fall2015,2015_2016,AY 0010,Introduction to Four-Field Anthropology,,,,,,
10,AY,Anthropology,377,2015.0,Fall,Fall2015,2015_2016,AY 0052,Culture and Political Economy,,,,,,
11,AY,Anthropology,391,2015.0,Fall,Fall2015,2015_2016,AY 0110,Biological Anthropology,,,,,,
12,AY,Anthropology,376,2015.0,Fall,Fall2015,2015_2016,AY 0111,Cultural Anthropology,,,,,,
13,AY,Anthropology,405,2015.0,Fall,Fall2015,2015_2016,AY 0115,Biomedical Anthropology,,,,,,
14,AY,Anthropology,370,2016.0,Spring,Spring2016,2015_2016,AY 0145,Anthropology of Food,,,,,,
15,AY,Anthropology,379,2015.0,Fall,Fall2015,2015_2016,AY 0152,Islamic Societies and Cultures,,,,,,
16,AY,Anthropology,6940,2015.0,Fall,Fall2015,2015_2016,AY 0168,Women and Men: The Anthropology of Gender,,,,,,
17,AY,Anthropology,386,2016.0,Spring,Spring2016,2015_2016,AY 0180,Grant Writing for the Social Sciences,,,,,,
18,AY,Anthropology,369,2016.0,Spring,Spring2016,2015_2016,AY 0200,Anthropological Research Methods,,,,,,
19,AS,American Studies,2814,2015.0,Fall,Fall2015,2015_2016,AS 0200,Roots of American Culture,,,,,,
20,AS,American Studies,2728,2015.0,Fall,Fall2015,2015_2016,AS 0400,Critical Issues/Amer Studies,,,,,,
21,AS,American Studies,314,2016.0,Spring,Spring2016,2015_2016,AS 0410,Introduction to Women's and Gender Studies,,,,,,
22,AS,American Studies,3531,2016.0,Summer,Summer2016,2015_2016,AS 0461,The American Civil War,,,,,,
23,AS,American Studies,6259,2016.0,Spring,Spring2016,2015_2016,AS 0479,Islam in America,,,,,,
24,AS,American Studies,321,2015.0,Fall,Fall2015,2015_2016,AS 0483,America in the 1930s,,,,,,
25,AS,American Studies,2813,2015.0,Fall,Fall2015,2015_2016,AS 0488,Frontier in American Culture,,,,,,
26,JA,Japanese,3889,2015.0,Fall,Fall2015,2015_2016,JA 0110,Elementary Japanese I,,,,,,
27,JA,Japanese,3895,2016.0,Spring,Spring2016,2015_2016,JA 0111,Elementary Japanese II,,,,,,
28,JA,Japanese,3890,2015.0,Fall,Fall2015,2015_2016,JA 0210,Intermediate Japanese I,,,,,,
29,JA,Japanese,3896,2016.0,Spring,Spring2016,2015_2016,JA 0211,Intermediate Japanese II,,,,,,
30,AH,Art History,524,2015.0,Fall,Fall2015,2015_2016,AH 0010,Origins and Transformations in Western Art,,,,,,
31,AH,Art History,553,2016.0,Spring,Spring2016,2015_2016,AH 0011,Visual Culture Since 1400: Expression and Experimentation,,,,,,
32,AH,Art History,598,2015.0,Fall,Fall2015,2015_2016,AH 0013,"Art of Africa, the Caribbean, and the Americas",,,,,,
33,AH,Art History,599,2015.0,Fall,Fall2015,2015_2016,AH 0014,Art of Asia,,,,,,
34,AH,Art History,530,2016.0,Spring,Spring2016,2015_2016,AH 0111,Greek Art and Archaeology,,,,,,
35,AH,Art History,571,2015.0,Fall,Fall2015,2015_2016,AH 0112,Etruscan and Roman Art and Archaeology,,,,,,
36,AH,Art History,7840,2016.0,Spring,Spring2016,2015_2016,AH 0113,Art and Archaeology of Ancient Egypt: Images for Eternity,,,,,,
37,AH,Art History,538,2015.0,Fall,Fall2015,2015_2016,AH 0130,Early Renaissance Art in Italy,,,,,,
38,AH,Art History,563,2016.0,Summer,Summer2016,2015_2016,AH 0164,American Art and Media Culture: Homer to Hunger Games,,,,,,
39,AH,Art History,592,2016.0,Spring,Spring2016,2015_2016,AH 0165,The Black Experience: African-American Art and Criticism in the 20th Century,,,,,,
40,AH,Art History,589,2015.0,Fall,Fall2015,2015_2016,AH 0172,History of Photography,,,,,,
41,AH,Art History,526,2015.0,Fall,Fall2015,2015_2016,AH 0290B,Special Topics: Hair in the Classical World,,,,,,
42,AH,Art History,551,2016.0,Spring,Spring2016,2015_2016,AH 0330,Senior Capstone Seminar,,,,,,
43,AH,Art History,552,2016.0,Spring,Spring2016,2015_2016,AH 0330A,Senior Capstone Seminar,,,,,,
44,AE,Applied Ethics,415,2015.0,Fall,Fall2015,2015_2016,AE 0262,Ethics and the Community,,,,,,
45,AE,Applied Ethics,416,2015.0,Fall,Fall2015,2015_2016,AE 0265,Ethics in Education,,,,,,
46,AE,Applied Ethics,426,2015.0,Fall,Fall2015,2015_2016,AE 0276,Ethical Dimensions of Global Business Practices,,,,,,
47,AE,Applied Ethics,434,2015.0,Fall,Fall2015,2015_2016,AE 0281,Ethics of Communications,,,,,,
48,AE,Applied Ethics,441,2015.0,Fall,Fall2015,2015_2016,AE 0284,Environmental Ethics,,,,,,
49,AE,Applied Ethics,457,2016.0,Spring,Spring2016,2015_2016,AE 0285,Ethics of Health Care,,,,,,
50,AE,Applied Ethics,471,2016.0,Spring,Spring2016,2015_2016,AE 0287,Engineering Ethics,,,,,,
51,AE,Applied Ethics,267,2016.0,Spring,Spring2016,2015_2016,AE 0291,Business Ethics,,,,,,
52,AE,Applied Ethics,6961,2016.0,Summer,Summer2016,2015_2016,AE 0293,Ethics of War and Peace,,,,,,
53,AE,Applied Ethics,474,2016.0,Spring,Spring2016,2015_2016,AE 0391,"Seminar in Business Law, Regulation, and Ethics",,,,,,
54,AC,Accounting,3,2015.0,Fall,Fall2015,2015_2016,AC 0011,Introduction to Financial Accounting,,,,,,
55,AC,Accounting,14,2016.0,Spring,Spring2016,2015_2016,AC 0012,Introduction to Management Accounting,,,,,,
56,AC,Accounting,25,2015.0,Fall,Fall2015,2015_2016,AC 0203,Intermediate Accounting I,,,,,,
57,AC,Accounting,105,2016.0,Summer,Summer2016,2015_2016,AC 0204,Intermediate Accounting II,,,,,,
58,AC,Accounting,100,2016.0,Spring,Spring2016,2015_2016,AC 0265,Accounting Information Systems,,,,,,
59,AC,Accounting,241,2015.0,Fall,Fall2015,2015_2016,AC 0310,Advanced Accounting,,,,,,
60,AC,Accounting,192,2015.0,Fall,Fall2015,2015_2016,AC 0320,Cost Management,,,,,,
61,AC,Accounting,40,2015.0,Fall,Fall2015,2015_2016,AC 0330,Auditing,,,,,,
62,AC,Accounting,214,2015.0,Fall,Fall2015,2015_2016,AC 0343,Federal Income Taxation I,,,,,,
63,AC,Accounting,8386,2016.0,Spring,Spring2016,2015_2016,AC 0344,Individual Taxation: Socioeconomic Applications,,,,,,
64,AC,Accounting,227,2016.0,Spring,Spring2016,2015_2016,AC 0345,Federal Income Taxation II,,,,,,
65,AC,Accounting,117,2015.0,Fall,Fall2015,2015_2016,AC 0400,Introduction to Accounting,,,,,,
