,YEAR,SEMESTER,term,CatalogYear,Catalog_ID,program_name,program_code,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
7355,2018.0,Summer,Summer2018,2017_2018,AS 0405A,,,"Special Topics: Study Away: Newport, Rhode Island: ""A Lively Experiment""",,,,,,
395,2017.0,Fall,Fall2017,2017_2018,AY 0390B,,,Special Topics: North American Indians,,,,,,
8279,2017.0,Fall,Fall2017,2017_2018,BI 0107X,,,Human Anatomy and Physiology Lab I,,,,,,
8014,2017.0,Fall,Fall2017,2017_2018,FE 0001,,,First Year Experience,,,,,,
8064,2017.0,Fall,Fall2017,2017_2018,FE 0002,,,Transfer Student Experience,,,,,,
2246,2018.0,Summer,Summer2018,2017_2018,MA 0495C,,,Special Topics: Cryptography,,,,,,
8356,2018.0,Spring,Spring2018,2017_2018,PB 0101,,,Global Public Health and Social Justice,,,,,,
5592,2017.0,Fall,Fall2017,2017_2018,PH 0299D,,,Special Topics: Philosophy as a Way of Life,,,,,,
6352,2017.0,Fall,Fall2017,2017_2018,RS 0299C,,,"Special Topics: Tradition and the Spirit of Place: Memory, Identity, and Community",,,,,,
7900,2018.0,Summer,Summer2018,2017_2018,SHS 0011,,,Forensic Psychology,,,,,,
4983,2018.0,Summer,Summer2018,2017_2018,SHS 0013,,,Nursing: The Possibilities Are Endless!,,,,,,
6780,2017.0,Fall,Fall2017,2017_2018,SL 0540A,,,Special Topics in English Acquisition Pedagogy: Research Practicum,,,,,,
