,program_code,program_name,catalog_id,course_title,credits,prereqs,coreqs,fees,attributes,description,CatalogYear
0,BL,Black Studies,BL 0100A,Special Topics: Black Lives Matter,3,,,,,,
1,AY,Anthropology,AY 0390A,Special Topics: Introduction to Archaeology,3,,,,,,
2,AY,Anthropology,AY 0390B,Special Topics: North American Indians,3,,,,,,
3,AS,American Studies,AS 0405A,"Special Topics: Study Away: Newport, Rhode Island: ""A Lively Experiment""",3,,,,,,
4,AH,Art History,AH 0290B,Special Topics: Hair in the Classical World,3,,,,,,
5,AC,Accounting,AC 0585B,Special Topics Seminar: Forensic Accounting,3,,,,,,
6,AC,Accounting,AC 0585B,Special Topics Seminar: Forensic Accounting,3,,,,,,
7,BI,Biology,BI 0399M,Senior Capstone Seminar: Conservation Biology,3,,,,,,
8,BI,Biology,BI 0107X,Human Anatomy and Physiology Lab I,3,,,,,,
9,BI,Biology,BI 0381A,Special Topics Seminar: Biology of Cancer,3,,,,,,
10,BI,Biology,BI 0383A,Special Topics Seminar: Coral Reef Ecology,3,,,,,,
11,BI,Biology,BI 0318,Vertebrate Zoology,3,,,,,,
12,BI,Biology,BI 0318L,Vertebrate Zoology Lab,3,,,,,,
13,BI,Biology,BI 0381C,Seminar: Bacterial Pathogenesis,3,,,,,,
14,BI,Biology,BI 0381B,Special Topics Seminar: Molecular Mechanisms of Disease,3,,,,,,
15,BI,Biology,BI 0381D,Special Topics Seminar: Nutritional Epigenetics,3,,,,,,
16,BI,Biology,BI 0318,Vertebrate Zoology,3,,,,,,
17,BI,Biology,BI 0318L,Vertebrate Zoology Lab,3,,,,,,
18,TA,Theatre,TA 0300B,Special Topics: Acting the Medical Patient,3,,,,,,
19,SL,TESOL and Bilingual Education,SL 0540A,Special Topics in English Acquisition Pedagogy: Research Practicum,3,,,,,,
20,SW,Software Engineering,SW 0482G,Special Topics: Cybersecurity,3,,,,,,
21,SW,Software Engineering,SW 0202,Software Design Methods,3,,,,,,
22,SW,Software Engineering,SW 0201,Software Engineering Methods,3,,,,,,
23,SW,Software Engineering,SW 0205,Software Testing and Maintenance,3,,,,,,
24,SW,Software Engineering,SW 0202,Software Design Methods,3,,,,,,
