,credits,catalog_id,prereqs,coreqs,fees,attributes,description,program_code,program_name,YEAR,SEMESTER,term,CatalogYear,Title
0,3 Credits,AC 0011,,,,,"This course introduces students to financial accounting. Students learn to read and comprehend published financial statements and are introduced to the financial reporting process. Topics include financial statement analysis; accrual accounting; revenue and expense recognition; and accounting for assets, liabilities, and equities.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Introduction to Financial Accounting
1,3 Credits,AC 0012,AC 0011.,,,,"This course introduces students to managerial accounting and the role of accounting information in managerial decision-making. Topics include a description of basic cost elements; the interrelationship between fixed costs, variable costs, and profit; and methods of accumulating the costs associated with producing products and providing services (e.g., activity-based costing), so that students can make recommendations about performance evaluation, project evaluation and other management decisions.",AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Introduction to Management Accounting
2,3 Credits,AC 0203,AC 0011.,,,,"This course provides an in-depth study of financial accounting theory and concepts, and the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP). The course emphasizes balance sheet valuations and their relationship to income measurement and determination.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Intermediate Accounting I
3,3 Credits,AC 0204,AC 0203.,,,,"This course continues the in-depth study of financial accounting theory and concepts, and the presentation of financial statements in conformity with Generally Accepted Accounting Principles (GAAP) begun in ",AC,Accounting,2016.0,Summer,Summer2016,2015_2016,Intermediate Accounting II
4,3 Credits,AC 0265,AC 0012.,,,,"This course analyzes the methods used to capture, process, and communicate accounting information in a modern business enterprise. Students learn to document business transaction cycles using data-flow diagrams and flowcharts. They analyze the accounting information system, identify weaknesses, and recommend improvements to internal control. Students process accounting information through a modern database management application program such as a general ledger package or an enterprise resource planning system.",AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Accounting Information Systems
5,3 Credits,AC 0310,AC 0204; junior or senior standing.,,,,"This course focuses on accounting for various financial investments, including financial instruments, derivatives, and business combinations. Students also study the role of financial instruments in hedging foreign currency exposures and the complications encountered in financial reporting in a global environment.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Advanced Accounting
6,3 Credits,AC 0320,"AC 0012, AC 0203, junior or senior standing.",,,,"This course focuses on the proactive management of costs and the effect of costs on managers' decision-making, planning, and control. Students learn to accumulate costs and assign them to products and services using several different techniques such as activity-based costing. Other topics include profit planning and resource allocation through the budgeting process; the evaluations of organizational performance in cost, profit, and investment centers; and the importance of cost in the strategic management of the organization.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Cost Management
7,3 Credits,AC 0330,AC 0204; junior or senior standing.,,,,"This course introduces the audit of financial statements by independent CPAs. It bridges the gap between knowledge of accounting principles and the professional practice of accounting and auditing in the working world. Students learn about the role of auditing in society and the professional standards for behavioral and technical competence. They also study the factors entering into judgments about audit risk and the fair presentation of financial statement assertions. The course presents programs and procedures for defining audit objectives, gathering evidence, making decisions, and exercising professional skepticism.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Auditing
8,3 Credits,AC 0343,AC 0204; junior or senior standing.,,,,"This course introduces students to income tax, adjusted gross income, deductions from adjusted gross income, itemized deductions, property transactions, filing status and exemptions, passive activity losses, tax credits, and tax computations. The course also includes tax compliance and preparation considerations for individuals.",AC,Accounting,2015.0,Fall,Fall2015,2015_2016,Federal Income Taxation I
9,3 Credits,AC 0344,"AC 0343, junior or senior standing.",,,UDIV U.S. Diversity,This course builds on the knowledge students obtained from ,AC,Accounting,2016.0,Spring,Spring2016,2015_2016,Individual Taxation: Socioeconomic Applications
