,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
0,AS,American Studies,2817,2018.0,Fall,Fall2018,2018_2019,AS 0471,Introduction to Native American Studies,,,,,,
1,BI,Biology,7019,2018.0,Fall,Fall2018,2018_2019,BI 0088,Biomedical Science and Society,,,,,,
2,BI,Biology,943,2019.0,Spring,Spring2019,2018_2019,BI 0399M,Senior Capstone Seminar: Conservation Biology,,,,,,
3,SW,Software Engineering,6524,2018.0,Fall,Fall2018,2018_2019,SW 0412,Agile Software Engineering,,,,,,
4,SW,Software Engineering,7094,2019.0,Spring,Spring2019,2018_2019,SW 0422,Visual Analytics,,,,,,
5,SW,Software Engineering,6542,2019.0,Spring,Spring2019,2018_2019,SW 0482G,Special Topics: Cybersecurity,,,,,,
6,SA,Studio Art,6862,2019.0,Spring,Spring2019,2018_2019,SA 0140,Darkroom Photography,,,,,,
7,RS,Religious Studies,6353,2018.0,Fall,Fall2018,2018_2019,RS 0268,American Catholic History,,,,,,
8,RS,Religious Studies,8375,2019.0,Spring,Spring2019,2018_2019,RS 0299D,"Special Topics: Martin Luther King, Jr.",,,,,,
9,PO,Politics,5881,2019.0,Spring,Spring2019,2018_2019,PO 0101,Introduction to American Politics,,,,,,
10,PO,Politics,5896,2018.0,Fall,Fall2018,2018_2019,PO 0102,Introduction to Comparative Politics,,,,,,
11,PO,Politics,5921,2018.0,Fall,Fall2018,2018_2019,PO 0103,Introduction to Political Ideas That Shape the World,,,,,,
12,PO,Politics,3787,2018.0,Fall,Fall2018,2018_2019,PO 0104,Introduction to International Relations,,,,,,
13,PO,Politics,5898,2018.0,Fall,Fall2018,2018_2019,PO 0190E,Special Topics: Turkey: A Nation of Contradictions in Turmoil,,,,,,
14,PO,Politics,5920,2018.0,Fall,Fall2018,2018_2019,PO 0201,Introduction to Peace and Justice,,,,,,
15,PO,Politics,8228,2019.0,Spring,Spring2019,2018_2019,PO 0203,Public Administration,,,,,,
16,PO,Politics,8363,2018.0,Fall,Fall2018,2018_2019,PO 0204,American Presidency,,,,,,
17,PO,Politics,8369,2019.0,Spring,Spring2019,2018_2019,PO 0205,United States Congress,,,,,,
18,PO,Politics,8366,2018.0,Fall,Fall2018,2018_2019,PO 0211,Media and Politics,,,,,,
19,PO,Politics,8229,2019.0,Spring,Spring2019,2018_2019,PO 0213,State and Local Politics,,,,,,
20,PO,Politics,8370,2019.0,Spring,Spring2019,2018_2019,PO 0232,Utopian Politics,,,,,,
21,PO,Politics,5929,2019.0,Spring,Spring2019,2018_2019,PO 0233,American Political Thought,,,,,,
22,PO,Politics,8371,2018.0,Fall,Fall2018,2018_2019,PO 0234,"Sex, Sexuality, and Gender",,,,,,
23,PO,Politics,8368,2019.0,Spring,Spring2019,2018_2019,PO 0236,"Politics of Race, Class, and Gender",,,,,,
24,PO,Politics,3788,2018.0,Fall,Fall2018,2018_2019,PO 0253,Latin American Politics,,,,,,
25,PO,Politics,5909,2019.0,Spring,Spring2019,2018_2019,PO 0255,Middle Eastern Politics,,,,,,
