,credits,catalog_id,prereqs,coreqs,fees,attributes,description,program_code,program_name,YEAR,SEMESTER,term,CatalogYear,Title
0,3 Credits,AS 0471,,,,,"This course explores a range of genres, for example autobiography, novels, short stories, film, and poems, by American Indian writers and filmmakers from the 18th through 21st centuries. We will rigorously examine how Native peoples have shaped and continue to shape their identities in and against U.S. colonialism. Writers and filmmakers may include, but are not limited to, Apess, Eastman, Za, Silko, Momaday, Welch, Eyre, Redroad. Formerly ASEN 0486.",AS,American Studies,2018.0,Fall,Fall2018,2018_2019,Introduction to Native American Studies
1,3 Credits,BA 0500,OM 0400.,,,,"This course introduces basic skills necessary for business analytics such as data analysis using basic statistics, data visualization and summarization, descriptive and inferential statistics, spreadsheet modeling for prediction, linear regression, risk analysis using Monte-Carlo simulation, linear and nonlinear optimization, and decision analysis. Microsoft Excel is used as the platform for conducting analyses and performing statistical calculations.",BA,Business Analytics,2018.0,Fall,Fall2018,2018_2019,Business Analytics
2,3 Credits,BA 0505,,,,,"In this course, we introduce Python as a language and tool for collecting, preprocessing, and visualizing data for business analytics. Since Python is one of the most popular programming languages, along with R, in data mining and business analytics, its fundamental programming logic and knowledge is essential for students to apply in data mining and to succeed in the job market. Specifically, this course focuses on the data-engineering phase, which includes collecting, preprocessing, and visualizing data, with respect to applications in business modeling, optimization, and statistical analysis. In addition, a number of mini projects will be used as vehicles to cover the main applications of data analytics, including recommender systems, text analytics, and web analytics.",BA,Business Analytics,2018.0,Fall,Fall2018,2018_2019,Python for Business Analytics
3,3 Credits,BA 0510,,,,,"This course introduces databases and data management in three parts. The first part covers basic database fundamentals. The second part is a hands-on introduction to Structured Query Language (SQL) for defining, manipulating, accessing, and managing data, accompanied by the basics of data modeling and normalization needed to ensure data integrity. The course concludes with a comprehensive database project that gives each student the opportunity to integrate and apply the new knowledge and skills learned from this class. Advanced topics such as distributed database systems, data services, and NoSQL databases are also discussed.",BA,Business Analytics,2019.0,Spring,Spring2019,2018_2019,Databases for Business Analytics
4,3 Credits,BA 0540,"BA 0500, BA 0510, QA 0500.",,,,"This course will change the way students think about data and its role in business. Increasingly, managers rely on intelligent technology to systematically analyze data to improve their decision-making. In many cases, automating analytical and decision-making processes is necessary because of the large volume of data and the speed with which new data are generated. In this course, we will examine how data warehousing, modeling, and visualization can be used to improve managerial decision making.",BA,Business Analytics,2019.0,Spring,Spring2019,2018_2019,Business Intelligence
5,3 Credits,BA 0545,"BA 0500, BA 0505.",,,,"Businesses, governments, and individuals create massive collections of data as a byproduct of their activity. In this course, we will study the fundamental principles and techniques of data mining through real-world examples and cases to place data mining techniques in context, to develop data-analytic thinking, and to illustrate that proper application of these techniques is as much an art as it is a science. In addition, we will work ""hands-on"" with contemporary data mining software.",BA,Business Analytics,2019.0,Spring,Spring2019,2018_2019,Data Mining
6,3 Credits,BI 0088,,,,HSST Health Studies: Science and Technology,"This core science course will engage students in inquiry-based scientific methodology through exploration of specific topics in biomedical science related to human health and disease. The course will explore four biomedical topics. Each topic will include approaches and contributions from chemistry and mathematics, so students appreciate the inherently interdisciplinary nature of science. The course will cover biomedical concepts, quantitative skills, the collection and analysis of data, and guided activities that utilize approaches from all three fields to address biomedical questions. The societal impact and implications of each topic will also be explored.",BI,Biology,2018.0,Fall,Fall2018,2018_2019,Biomedical Science and Society
7,3 Credits,CO 0497R,,,,,"Risk Communication examines the communication theories and research that underlie the study of risky behaviors and the development of effective responses to perceived risks. This course provides an understanding of how communication impacts our assessment of risk, critical thinking and policy making about risk prevention and response, and the creation of preventive programs and campaigns. Students will evaluate and explore the multidimensional processes involved in researching and responding to sustained risks or emergency situations, utilize communication theory to develop appropriate campaigns, and assess their success or failure. Topics may focus on health and environmental risks, security, or disaster response. Undergraduate equivalent: ",CO,Communication,2018.0,Fall,Fall2018,2018_2019,Health Risk Communication
8,3 Credits,CS 0333,CS 0231.,,,,"In this course, students will be given an extensive overview of the various components of Cybersecurity including software development, operating systems, databases, and networks. They will learn Cybersecurity concepts, issues, and tools that are critical in solving problems in the computing security domain. The course will use lectures, reading assignments, and interactive lab exercises to re-enforce the concepts that are introduced.",CS,Computer Science,2019.0,Spring,Spring2019,2018_2019,Introduction to Cybersecurity
9,1 Credit,CS 0350L,,SW 0300.,,,"This first junior clinic provides faculty guidance and supervision beyond the scope of existing courses. Students learn how to develop and structure their deliverables, as well as how to use computer science tools in the context of real-world or research projects.",CS,Computer Science,2018.0,Fall,Fall2018,2018_2019,Computer Science Junior Clinic I
