,instructor_lname,instructor_fname,Catalog_ID,program_name,program_code,Title,SECTION,CRN,SEMESTER,YEAR,Act,Cap,Rem,timecodes
0,Drake,Ryan T.,PH 0224,,,Critical Thinking,01,38856.0,Spring,2019.0,21.0,20.0,-1.0,['TF 0930am-1045am 01/22-04/30 CNS 104']
1,Post,Jed Morgan,SA 0140,,,Darkroom Photography,01,38773.0,Spring,2019.0,13.0,15.0,2.0,['F 1100am-0130pm 01/22-04/30 LYL 20']
2,Wills,Margaret A.,CO 0350,,,Family Crisis Communication,01,38836.0,Spring,2019.0,19.0,20.0,1.0,['MR 1230pm-0145pm 01/22-04/30 DMH 350']
3, Iddins,Anne,CO 0352,,,Global Mediated Activism,01,38837.0,Spring,2019.0,16.0,17.0,1.0,['M 0800am-1030am 01/22-04/30 DMH 148']
4,Vinekar,Vishnu V.,IS 0235,,,Python Apps for Busn Analytics,01,39010.0,Spring,2019.0,10.0,20.0,10.0,['TF 0200pm-0315pm 01/22-04/30 DSB 2109A']
5,Biardi,James E.,BI 0399M,,,Senior Capstone Seminar: Conservation Biology,01,38705.0,Spring,2019.0,10.0,10.0,0.0,['MR 1100am-1215pm 01/22-04/30 NHS 210']
6,Henkel,Linda A.,PY 0281G,,,Special Topics: Aging and Cognition,01,38821.0,Spring,2019.0,4.0,15.0,11.0,['MR 0330pm-0445pm 01/22-04/30 BNW 341']
7, Horan,Sean,CO 0559D,,,Special Topics: Communication Training and Development,01,38841.0,Spring,2019.0,12.0,13.0,1.0,['T 0630pm-0900pm 01/22-05/10 DMH 348']
8,Ramsey,Mark D.,SW 0482G,,,Special Topics: Cybersecurity,01,38906.0,Spring,2019.0,7.0,5.0,-2.0,['MW 0500pm-0615pm 01/22-04/30 BNW 131']
9, Hardy,Clarence,RS 0299D,,,"Special Topics: Martin Luther King, Jr.",01,38921.0,Spring,2019.0,18.0,25.0,7.0,['MR 0200pm-0315pm 01/22-04/30 CNS 206']
10,Hollingsworth,David W.,PY 0281H,,,Special Topics: Psychology of Diversity,01,38822.0,Spring,2019.0,22.0,22.0,0.0,['MR 1230pm-0145pm 01/22-04/30 DMH 148']
11, Robert,Tracey,NS 0385A,,,Special Topics: Spirituality in Nursing,01,39032.0,Spring,2019.0,2.0,10.0,8.0,['U 0100pm-0230pm 03/03-04/07 NHS 411']
12,Cavallo,James P.,CS 0201,,,Technical Skills for Liberal Arts Majors,01,38880.0,Spring,2019.0,0.0,20.0,20.0,['MR 0930am-1045am 01/22-04/30 CNS 301']
13, Lischinsky,Marissa,FE 0002,,,Transfer Student Experience,01,39064.0,Spring,2019.0,13.0,20.0,7.0,['W 1000am-1050am 01/22-04/30 NHS 410']
14, Speretta,Mirco,CS 0320,,,Visual Analytics,01,39029.0,Spring,2019.0,7.0,7.0,0.0,['F 0500pm-0730pm 01/22-04/30 BNW 166']
15,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience,01,74058.0,Fall,2018.0,19.0,35.0,16.0,['T 0200pm-0315pm 09/04-12/10 DMH 349']
16, Yu,Haozhe,FE 0001,,,First Year Experience,01,35505.0,Spring,2018.0,14.0,20.0,6.0,['T 1100am-1150am 01/16-05/01 NHS 411']
17, Fine,Benjamin,MA 0495C,,,Special Topics: Cryptography,01,58420.0,Summer,2018.0,12.0,12.0,0.0,['MW 0600pm-0900pm 07/09-08/18 BNW 341']
18,Schlichting,Kurt C.,AS 0405A,,,"Special Topics: Study Away: Newport, Rhode Island: ""A Lively Experiment""",01,58339.0,Summer,2018.0,6.0,15.0,9.0,"['R 0630pm-0830pm 05/31-06/14 DMH 331', 'RFSU TBA 06/21-06/24 BY ARR ']"
19, Patton,Martha Jane,PO 0190E,,,Special Topics: Turkey: A Nation of Contradictions in Turmoil,01,75845.0,Fall,2018.0,15.0,25.0,10.0,['T 0500pm-0730pm 09/04-12/10 CNS 9']
20, Horan,Sean,CO 0559C,,,Special Topics: Work-Life Intersections,01,75982.0,Fall,2018.0,14.0,15.0,1.0,['M 0630pm-0900pm 09/04-12/17 DMH 131']
21,Heller,Nicole Elizabeth,FE 0002,,,Transfer Student Experience,01,75473.0,Fall,2018.0,11.0,30.0,19.0,['M 0200pm-0250pm 09/04-12/10 BNW 335']
22,Elliott,Joshua C.,MD 0099,,,Comprehensive Exam,02,57432.0,Summer,2017.0,1.0,5.0,4.0,['W 1200pm-0300pm 07/12-07/12 CNS 108']
23,Heller,Nicole Elizabeth,FE 0001,,,First Year Experience,01,71060.0,Fall,2017.0,14.0,35.0,21.0,['F 1100am-1215pm 09/05-12/11 DMH 131']
